Date,Honeywell (HON) Price
9/21/2009,27.9282
9/22/2009,28.2123
9/23/2009,27.8785
9/24/2009,27.4736
9/25/2009,26.8557
9/28/2009,26.5218
9/29/2009,26.4579
9/30/2009,26.3869
10/1/2009,25.8542
10/2/2009,25.286
10/5/2009,25.7263
10/6/2009,25.9962
10/7/2009,25.7903
10/8/2009,26.1667
10/9/2009,26.4011
10/12/2009,26.4579
10/13/2009,26.1525
10/14/2009,26.5787
10/15/2009,26.8202
10/16/2009,26.8415
10/19/2009,27.2889
10/20/2009,26.8486
10/21/2009,26.2519
10/22/2009,27.3671
10/23/2009,27.1753
10/26/2009,26.7917
10/27/2009,26.6355
10/28/2009,25.9962
10/29/2009,26.4224
10/30/2009,25.4919
11/2/2009,25.705
11/3/2009,25.6056
11/4/2009,25.8542
11/5/2009,26.6994
11/6/2009,26.7775
11/9/2009,27.3031
11/10/2009,27.4168
11/11/2009,27.5091
11/12/2009,27.3955
11/13/2009,27.8785
11/16/2009,28.3117
11/17/2009,28.1342
11/18/2009,27.8572
11/19/2009,27.1682
11/20/2009,27.019
11/23/2009,27.4736
11/24/2009,27.5375
11/25/2009,27.779
11/26/2009,27.779
11/27/2009,27.3316
11/30/2009,27.3245
12/1/2009,27.9637
12/2/2009,28.2478
12/3/2009,28.1271
12/4/2009,28.5106
12/7/2009,28.9865
12/8/2009,28.5816
12/9/2009,28.5959
12/10/2009,28.6314
12/11/2009,29.0291
12/14/2009,29.3416
12/15/2009,29.299
12/16/2009,28.674
12/17/2009,28.0845
12/18/2009,27.8074
12/21/2009,28.1058
12/22/2009,28.1271
12/23/2009,28.3615
12/24/2009,28.3259
12/25/2009,28.3259
12/28/2009,28.2762
12/29/2009,28.3259
12/30/2009,28.2762
12/31/2009,27.843
1/1/2010,27.843
1/4/2010,28.6598
1/5/2010,28.7166
1/6/2010,28.7166
1/7/2010,29.2706
1/8/2010,29.917
1/11/2010,30.2934
1/12/2010,29.9525
1/13/2010,30.059
1/14/2010,30.2366
1/15/2010,30.2792
1/18/2010,30.2792
1/19/2010,30.4355
1/20/2010,30.0874
1/21/2010,28.9297
1/22/2010,28.3259
1/25/2010,28.5674
1/26/2010,28.3899
1/27/2010,28.5959
1/28/2010,28.2833
1/29/2010,27.4452
2/1/2010,27.9637
2/2/2010,28.0702
2/3/2010,27.8501
2/4/2010,26.7988
2/5/2010,26.6142
2/8/2010,26.188
2/9/2010,26.8628
2/10/2010,26.7917
2/11/2010,27.154
2/12/2010,26.8912
2/15/2010,26.8912
2/16/2010,27.6441
2/17/2010,27.7648
2/18/2010,28.3046
2/19/2010,28.5674
2/22/2010,28.5177
2/23/2010,28.3615
2/24/2010,28.8231
2/25/2010,28.5461
2/26/2010,28.5248
3/1/2010,28.816
3/2/2010,28.8942
3/3/2010,29.0646
3/4/2010,29.2493
3/5/2010,29.7678
3/8/2010,29.4695
3/9/2010,30.0235
3/10/2010,30.0732
3/11/2010,30.2721
3/12/2010,30.4923
3/15/2010,30.5207
3/16/2010,30.5633
3/17/2010,30.4781
3/18/2010,30.8474
3/19/2010,31.1245
3/22/2010,30.9398
3/23/2010,31.3873
3/24/2010,31.5932
3/25/2010,31.4938
3/26/2010,31.6785
3/29/2010,31.8702
3/30/2010,31.9271
3/31/2010,32.1544
4/1/2010,31.9839
4/2/2010,31.9839
4/5/2010,32.2822
4/6/2010,32.2893
4/7/2010,32.1402
4/8/2010,32.3106
4/9/2010,32.5095
4/12/2010,32.6658
4/13/2010,32.4314
4/14/2010,32.9073
4/15/2010,33.0067
4/16/2010,32.545
4/19/2010,32.4953
4/20/2010,32.9428
4/21/2010,33.163
4/22/2010,33.6957
4/23/2010,33.8945
4/26/2010,34.2852
4/27/2010,33.3405
4/28/2010,33.4187
4/29/2010,34.4628
4/30/2010,33.717
5/3/2010,34.4557
5/4/2010,33.2837
5/5/2010,32.5876
5/6/2010,31.4654
5/7/2010,30.9114
5/10/2010,32.7226
5/11/2010,32.5663
5/12/2010,33.2908
5/13/2010,32.8078
5/14/2010,32.3035
5/17/2010,32.2751
5/18/2010,31.9766
5/19/2010,31.3616
5/20/2010,29.8815
5/21/2010,30.0817
5/24/2010,29.9173
5/25/2010,29.8815
5/26/2010,30.1103
5/27/2010,31.047
5/28/2010,30.5822
5/31/2010,30.5822
6/1/2010,29.9602
6/2/2010,30.6967
6/3/2010,30.9326
6/4/2010,29.3667
6/7/2010,28.6016
6/8/2010,28.9091
6/9/2010,28.6087
6/10/2010,29.5025
6/11/2010,29.5454
6/14/2010,29.6956
6/15/2010,30.7753
6/16/2010,30.5679
6/17/2010,30.4964
6/18/2010,30.6895
6/21/2010,30.6967
6/22/2010,30.1747
6/23/2010,29.9173
6/24/2010,29.3166
6/25/2010,29.7457
6/28/2010,29.4596
6/29/2010,28.1225
6/30/2010,27.908
7/1/2010,27.5648
7/2/2010,27.5505
7/5/2010,27.5505
7/6/2010,27.6792
7/7/2010,28.7374
7/8/2010,29.1236
7/9/2010,29.5097
7/12/2010,29.1879
7/13/2010,29.9244
7/14/2010,29.81
7/15/2010,29.8815
7/16/2010,28.7374
7/19/2010,28.8519
7/20/2010,29.4596
7/21/2010,29.4096
7/22/2010,30.5036
7/23/2010,31.1042
7/26/2010,31.3831
7/27/2010,31.0542
7/28/2010,30.9183
7/29/2010,30.5465
7/30/2010,30.6466
8/2/2010,31.2687
8/3/2010,30.8468
8/4/2010,31.4474
8/5/2010,31.5476
8/6/2010,31.2973
